*                                                                           KC-
*type   name       id     mass/GeV      width     max_Dm 3*ch 2*sp c*t/mm   LUND
Mes  h_1(1380)      10333 1.40            0.08    0.010    0   2       0     153
Mes  eta(1295)      20221 1.295           0.053   0.2      0   2       0       0
Mes  f_1(1285)      20223 1.2822          0.0248  0.05     0   2       0     192
Mes  f_1(1420)      20333 1.4268          0.053   0.10     0   2       0     193
Mes  f_2(1270)        225 1.275           0.185   0.27     0   4       0     212
Mes  omega(1420)   100223 1.42            0.174   0.4      0   2       0       0
Mes  eta(1440)     100331 1.435           0.056   0.1      0   0       0       0
Mes  f_0(1500)    9020221 1.500           0.112   0.3      0   0       0       0
Mes  f_1(1510)    9000223 1.518           0.073   0.15     0   2       0       0
Mes  f'_2(1525)       335 1.525           0.076   0.2      0   4       0     213
Mes  f_0(1710)      10331 1.715           0.125   0.2      0   0       0       0
Mes  eta(1760)     200221 1.760           0.060   0.1      0   0       0       0
Mes  eta_2(1870)    10335 1.854           0.202   0.3      0   4       0       0
Mes  f_2(1950)    9030225 1.960           0.460   0.5      0   4       0       0
Mes  f_4(2050)        229 2.034           0.222   0.3      0   8       0       0
Mes  f_J(2220)    9000339 2.231           0.023   0.03     0   4       0       0
Mes  eta(2225)    9060221 2.220           0.080   0.1      0   0       0       0
*
* Strange mesons
*
Mes  K0               311 0.49767         0       0        0   0       0     102
Mes  anti-K0         -311 0.49767         0       0        0   0       0       0
Mes  K*0              313 0.8961          0.0505  0.2      0   2       0     122
Mes  anti-K*0        -313 0.8961          0.0505  0.2      0   2       0       0
Mes  K*+              323 0.8916          0.0500  0.2      3   2       0     123
Mes  K*-             -323 0.8916          0.0500  0.2     -3   2       0       0
Mes  K_0*0          10311 1.429           0.287   0.4      0   0       0     162
Mes  anti-K_0*0    -10311 1.429           0.287   0.4      0   0       0       0
Mes  K_0*+          10321 1.429           0.287   0.4      3   0       0     163
Mes  K_0*-         -10321 1.429           0.287   0.4     -3   0       0       0
Mes  K_10           10313 1.273           0.09    0.01     0   2       0     142
Mes  anti-K_10     -10313 1.273           0.09    0.01     0   2       0       0
Mes  K_1+           10323 1.273           0.09    0.01     3   2       0     143
Mes  K_1-          -10323 1.273           0.09    0.01    -3   2       0       0
Mes  K_2*0            315 1.432           0.109   0.2      0   4       0     202
Mes  anti-K_2*0      -315 1.432           0.109   0.2      0   4       0       0
Mes  K_2*+            325 1.425           0.099   0.2      3   4       0     203
Mes  K_2*-           -325 1.425           0.099   0.2     -3   4       0       0
Mes  K'_10          20313 1.402           0.174   0.3      0   2       0     182
Mes  anti-K'_10    -20313 1.402           0.174   0.3      0   2       0       0
Mes  K'_1+          20323 1.402           0.174   0.3      3   2       0     183
Mes  K'_1-         -20323 1.402           0.174   0.3     -3   2       0       0
*
* D-mesons
*
Mes  D+               411 1.86929         0       0        3   0   0.317     104
Mes  D-              -411 1.86929         0       0       -3   0   0.317       0
Mes  D0               421 1.86451         0       0        0   0  0.1244     105
Mes  anti-D0         -421 1.86451         0       0        0   0  0.1244       0
Mes  D*+              413 2.00993         0.000080 0.0004  3   2       0     124
Mes  D*-             -413 2.00993         0.000080 0.0004 -3   2       0       0
Mes  D*0              423 2.00663         0.000061 0.0003  0   2       0     125
Mes  anti-D*0        -423 2.00663         0.000061 0.0003  0   2       0       0
Mes  D_0*+          10411 2.40            0.15    0.25     3   0       0     164
Mes  D_0*-         -10411 2.40            0.15    0.25    -3   0       0       0
Mes  D_0*0          10421 2.40            0.15    0.25     0   0       0     165
Mes  anti-D_0*0    -10421 2.40            0.15    0.25     0   0       0       0
Mes  D_1+           10413 2.4222          0.019   0.08     3   2       0     144
Mes  D_1-          -10413 2.4222          0.019   0.08    -3   2       0       0
Mes  D_10           10423 2.4222          0.019   0.08     0   2       0     145
Mes  anti-D_10     -10423 2.4222          0.019   0.08     0   2       0       0
Mes  D_2*+            415 2.459           0.023   0.06     3   4       0     204
Mes  D_2*-           -415 2.459           0.023   0.06    -3   4       0       0
Mes  D_2*0            425 2.459           0.023   0.06     0   4       0     205
Mes  anti-D_2*0      -425 2.459           0.023   0.06     0   4       0       0
Mes  D'_1+          20413 2.445           0.25    0.25     3   2       0     184
Mes  D'_1-         -20413 2.445           0.25    0.25    -3   2       0       0
Mes  D'_10          20423 2.445           0.25    0.25     0   2       0     185
Mes  anti-D'_10    -20423 2.445           0.25    0.25     0   2       0       0
Mes  D_s+             431 1.9685          0       0        3   0   0.140     106
Mes  D_s-            -431 1.9685          0       0       -3   0   0.140       0
Mes  D_s*+            433 2.1123          0       0        3   2       0     126
Mes  D_s*-           -433 2.1123          0       0       -3   2       0       0
Mes  D_s0*+         10431 2.5             0.15    0.13     3   0       0     166
Mes  D_s0*-        -10431 2.5             0.15    0.13    -3   0       0       0
Mes  D_s1+          10433 2.53535         0.001   0.01     3   2       0     146
Mes  D_s1-         -10433 2.53535         0.001   0.01    -3   2       0       0
Mes  D_s2*+           435 2.5735          0.015   0.06     3   4       0     206
Mes  D_s2*-          -435 2.5735          0.015   0.06    -3   4       0       0
Mes  D'_s1+         20433 2.56            0.25    0.30     3   2       0     186
Mes  D'_s1-        -20433 2.56            0.25    0.30    -3   2       0       0
Mes  D(2S)+         30411 2.58            0       0        3   0       0       0
Mes  D(2S)-        -30411 2.58            0       0       -3   0       0       0
Mes  D(2S)0         30421 2.58            0       0        0   0       0       0
Mes  anti-D(2S)0   -30421 2.58            0       0        0   0       0       0
Mes  D*(2S)+        30413 2.64            0       0        3   2       0       0
Mes  D*(2S)-       -30413 2.64            0       0       -3   2       0       0
Mes  D*(2S)0        30423 2.64            0       0        0   2       0       0
Mes  anti-D*(2S)0  -30423 2.64            0       0        0   2       0       0
*
* B-mesons
*
Mes  B0               511 5.2791          0       0        0   0   0.468     107
Mes  anti-B0         -511 5.2791          0       0        0   0   0.468       0
Mes  B+               521 5.2789          0       0        3   0   0.486     108
Mes  B-              -521 5.2789          0       0       -3   0   0.486       0
Mes  B*0              513 5.3248          0       0        0   2       0     127
Mes  anti-B*0        -513 5.3248          0       0        0   2       0       0
Mes  B*+              523 5.3246          0       0        3   2       0     128
Mes  B*-             -523 5.3246          0       0       -3   2       0       0
Mes  B_0*0          10511 5.697           0.1     0.2      0   0       0     167
Mes  anti-B_0*0    -10511 5.697           0.1     0.2      0   0       0       0
Mes  B_0*+          10521 5.697           0.1     0.2      3   0       0     168
Mes  B_0*-         -10521 5.697           0.1     0.2     -3   0       0       0
Mes  B_10           10513 5.679           0.1     0.2      0   2       0     147
Mes  anti-B_10     -10513 5.679           0.1     0.2      0   2       0       0
Mes  B_1+           10523 5.679           0.1     0.2      3   2       0     148
Mes  B_1-          -10523 5.679           0.1     0.2     -3   2       0       0
Mes  B_2*0            515 5.692           0.1     0.2      0   4       0     207
Mes  anti-B_2*0      -515 5.692           0.1     0.2      0   4       0       0
Mes  B_2*+            525 5.692           0.1     0.2      3   4       0     208
Mes  B_2*-           -525 5.692           0.1     0.2     -3   4       0       0
Mes  B'_10          20513 5.740           0.1     0.2      0   2       0     187
Mes  anti-B'_10    -20513 5.740           0.1     0.2      0   2       0       0
Mes  B'_1+          20523 5.740           0.1     0.2      3   2       0     188
Mes  B'_1-         -20523 5.740           0.1     0.2     -3   2       0       0
Mes  B_s0             531 5.36930         0       0        0   0   0.460     109
Mes  anti-B_s0       -531 5.36930         0       0        0   0   0.460       0
Mes  B_s*0            533 5.4163          0       0        0   2       0     129
Mes  anti-B_s*0      -533 5.4163          0       0        0   2       0       0
Mes  B_s0*0         10531 5.766           0.1     0.12     0   0       0     169
Mes  anti-B_s0*0   -10531 5.766           0.1     0.12     0   0       0       0
Mes  B_s10          10533 5.810           0.1     0.12     0   2       0     149
Mes  anti-B_s10    -10533 5.810           0.1     0.12     0   2       0       0
Mes  B_s2*0           535 5.853           0.1     0.2      0   4       0     209
Mes  anti-B_s2*0     -535 5.853           0.1     0.2      0   4       0       0
Mes  B'_s10         20533 5.840           0.1     0.2      0   2       0     189
Mes  anti-B'_s10   -20533 5.840           0.1     0.2      0   2       0       0
Mes  B_c+             541 6.594           0       0        3   0    0.10     110
Mes  B_c-            -541 6.594           0       0       -3   0    0.10       0
Mes  B_c*+            543 6.602           0       0        3   2       0     130
Mes  B_c*-           -543 6.602           0       0       -3   2       0       0
Mes  B_c0*+         10541 7.25            0.02    0.06     3   0       0     170
Mes  B_c0*-        -10541 7.25            0.02    0.06    -3   0       0       0
Mes  B_c1+          10543 7.30            0.02    0.06     3   2       0     150
Mes  B_c1-         -10543 7.30            0.02    0.06    -3   2       0       0
Mes  B_c2*+           545 7.350           0.02    0.06     3   4       0     210
Mes  B_c2*-          -545 7.350           0.02    0.06    -3   4       0       0
Mes  B'_c1+         20543 7.40            0.2     0.2      3   2       0     190
Mes  B'_c1-        -20543 7.40            0.2     0.2     -3   2       0       0
*
*  c/c
*
Mes  eta_c            441 2.9798          0.013   0.05     0   01.49E-11     114
Mes  eta_c(2S)      20441 3.594           0.005   0.02     0   0       0       0
Mes  J/psi            443 3.09688        0.000087 0.0002   0   2       0     134
Spe  psi_diff         440 0               0       0        0   2       0     287
Mes  psi(2S)        30443 3.68600         0.00028 0.0008   0   2       0     231
Mes  psi(3770)      40443 3.7699          0.025   0.030    0   2       0       0
Mes  h_c            10443 3.46            0.01    0.02     0   2       0     154
Mes  chi_c0         10441 3.4151          0.014   0.05     0   0       0     174
Mes  chi_c1         20443 3.51053         0.00088 0.01     0   2       0     194
Mes  chi_c2           445 3.55617         0.0020  0.0060   0   4       0     214
*
*  b/b
*
Mes  eta_b            551 9.403           0       0        0   0       0     115
Mes  eta_b(2S)      20551 9.997           0       0        0   0       0     401
Mes  eta_b(3S)      40551 10.335          0       0        0   0       0     402
Mes  Upsilon          553 9.46037         0       0        0   2       0     135
Mes  Upsilon(2S)    30553 10.02330        0       0        0   2       0     235
Mes  Upsilon(3S)    60553 10.35530        0.000026 0.00026  0   2       0     403
Mes  Upsilon(4S)    70553 10.58000        0.010   0.018    0   2       0     404
Mes  Upsilon(5S)    80553 10.86000        0       0        0   2       0     405
Mes  h_b            10553 9.875           0       0        0   2       0     155
Mes  h_b(2P)        40553 10.25500        0       0        0   2       0     422
Mes  h_b(3P)       100553 10.51600        0       0        0   2       0     423
